tree, lambdaD, lambdaL, node, sequence
1, 3, 2, a, 00000100202010001000
1, 3, 2, b, 00010211201000100200
1, 3, 2, c, 10102000200120020100
2, 3, 2, a, 20002100111101000122
2, 3, 2, b, 00000000210001000011
2, 3, 2, c, 11000010001001000010
3, 3, 2, a, 00002001110001100000
3, 3, 2, b, 20001000111002000000
3, 3, 2, c, 20120000010001001001
4, 3, 2, a, 00001010020020212000
4, 3, 2, b, 00010210022002000020
4, 3, 2, c, 00100020000200010021
5, 3, 2, a, 21000000002000200000
5, 3, 2, b, 01021000000100001100
5, 3, 2, c, 10100210100202000000
6, 3, 2, a, 11002010200020200011
6, 3, 2, b, 00101000101010002012
6, 3, 2, c, 00202001001011120020
7, 3, 2, a, 00120110110100100001
7, 3, 2, b, 00210002000212201020
7, 3, 2, c, 10002000000020122002
8, 3, 2, a, 00000001000020012020
8, 3, 2, b, 00220112000020011010
8, 3, 2, c, 00200120000110010010
9, 3, 2, a, 00200000011020000100
9, 3, 2, b, 01002000002120002000
9, 3, 2, c, 10010000000001200120
10, 3, 2, a, 01000001010100000000
10, 3, 2, b, 00000021210001100100
10, 3, 2, c, 11002000102110102101
11, 3, 2, a, 11000000001100000020
11, 3, 2, b, 00011101001200000000
11, 3, 2, c, 10000100122110100010
12, 3, 2, a, 02100200000000000000
12, 3, 2, b, 21000000101100020011
12, 3, 2, c, 00000010000000010110
13, 3, 2, a, 02100001001021101011
13, 3, 2, b, 01200011101000000000
13, 3, 2, c, 10200001200122000201
14, 3, 2, a, 01000200010000120101
14, 3, 2, b, 10120210222000212000
14, 3, 2, c, 21011100102010110201
15, 3, 2, a, 00000000210010202001
15, 3, 2, b, 21000001200011220010
15, 3, 2, c, 02001101000010202101
16, 3, 2, a, 11210000012002001001
16, 3, 2, b, 00000001001000000000
16, 3, 2, c, 10010021100010100101
17, 3, 2, a, 12000011200000121000
17, 3, 2, b, 02200002000000011010
17, 3, 2, c, 00021000210202000002
18, 3, 2, a, 20000100010002100200
18, 3, 2, b, 00100000012002210200
18, 3, 2, c, 00222000100110012201
19, 3, 2, a, 00002000000100202002
19, 3, 2, b, 00112011000001200222
19, 3, 2, c, 00000020010001020000
20, 3, 2, a, 02002002012110100002
20, 3, 2, b, 00000002000021012010
20, 3, 2, c, 00020010000221200000
21, 3, 2, a, 00000020100100002001
21, 3, 2, b, 22101221000001100011
21, 3, 2, c, 10101100001020100000
22, 3, 2, a, 00000000001001000000
22, 3, 2, b, 20020000000000000001
22, 3, 2, c, 00121000000021000000
23, 3, 2, a, 10001000000100001102
23, 3, 2, b, 00000020000000000000
23, 3, 2, c, 01000010002020000000
24, 3, 2, a, 02000010100000001001
24, 3, 2, b, 00111002001000100012
24, 3, 2, c, 10122002112002000001
25, 3, 2, a, 20020110000000100200
25, 3, 2, b, 01000000100100000101
25, 3, 2, c, 00020000100200000202
26, 3, 2, a, 10101202000220120200
26, 3, 2, b, 00002202100220001000
26, 3, 2, c, 10100010210020000001
27, 3, 2, a, 20001010002000120000
27, 3, 2, b, 20122021200100121011
27, 3, 2, c, 20021000001000012100
28, 3, 2, a, 00000010000000022000
28, 3, 2, b, 01201011011012012200
28, 3, 2, c, 00010210002000002001
29, 3, 2, a, 20101010002001110001
29, 3, 2, b, 10012200000200010002
29, 3, 2, c, 00001000101001110000
30, 3, 2, a, 10100000100020101000
30, 3, 2, b, 00000111100000001010
30, 3, 2, c, 00001001011010020110
31, 3, 2, a, 20010011200001000000
31, 3, 2, b, 10001020000001010011
31, 3, 2, c, 00100202001000001201
32, 3, 2, a, 00012200001020000012
32, 3, 2, b, 00101120000002100102
32, 3, 2, c, 00010200010102201011
33, 3, 2, a, 00000000110011100000
33, 3, 2, b, 00001021010000010000
33, 3, 2, c, 01210000100002100001
34, 3, 2, a, 21012200011000001000
34, 3, 2, b, 00002001002000220210
34, 3, 2, c, 01002000001002101000
35, 3, 2, a, 20000101001102201210
35, 3, 2, b, 21101000010001010200
35, 3, 2, c, 11000000200110200001
36, 3, 2, a, 00021010000000020120
36, 3, 2, b, 00000000010001020000
36, 3, 2, c, 00200100210010000000
37, 3, 2, a, 00002100002002000000
37, 3, 2, b, 20001020220111210010
37, 3, 2, c, 20200011001000121110
38, 3, 2, a, 00102200200202000100
38, 3, 2, b, 00000210000002100001
38, 3, 2, c, 11000000000020100000
39, 3, 2, a, 00202200200101120002
39, 3, 2, b, 10000202201200010220
