tree, lambdaD, lambdaL, node, sequence
1, 0.6003672, 1.106784, a, 01002121101011100000
1, 0.6003672, 1.106784, b, 02112010001002001010
1, 0.6003672, 1.106784, c, 20002101200201100000
2, 0.1770356, 0.7157895, a, 11110101011210002101
2, 0.1770356, 0.7157895, b, 21110101001121002010
2, 0.1770356, 0.7157895, c, 00100111001010111010
3, 0.3208102, 1.749434, a, 02111000100010002211
3, 0.3208102, 1.749434, b, 02100000101210001201
3, 0.3208102, 1.749434, c, 02011001100202010110
4, 0.6126908, 3.785611, a, 20100000222002101220
4, 0.6126908, 3.785611, b, 20200000102002022022
4, 0.6126908, 3.785611, c, 00220210000020020000
5, 0.1660987, 1.323163, a, 20021000001001201000
5, 0.1660987, 1.323163, b, 20100110100201200000
5, 0.1660987, 1.323163, c, 01200001010011001201
6, 0.748, 0.4527953, a, 21002010100010120010
6, 0.748, 0.4527953, b, 21112110111100210021
6, 0.748, 0.4527953, c, 10110102120021000001
7, 0.2433774, 6.182187, a, 20012020002200202002
7, 0.2433774, 6.182187, b, 00002022200200220202
7, 0.2433774, 6.182187, c, 00002000000100000000
8, 0.1902933, 0.2630841, a, 21111111001101210101
8, 0.1902933, 0.2630841, b, 10011010101100110110
8, 0.1902933, 0.2630841, c, 11111100102000111111
9, 1.134062, 0.5872705, a, 10001101100001000110
9, 1.134062, 0.5872705, b, 01100201021002110200
9, 1.134062, 0.5872705, c, 02001011000100011000
10, 0.3909449, 1.738625, a, 01001010202110201101
10, 0.3909449, 1.738625, b, 10001120212200100001
10, 0.3909449, 1.738625, c, 22110001001001101021
11, 0.5916036, 0.3097688, a, 01111121101000101100
11, 0.5916036, 0.3097688, b, 00110002002000000110
11, 0.5916036, 0.3097688, c, 02101100000010101111
12, 0.2351178, 2.962687, a, 00000002002000200000
12, 0.2351178, 2.962687, b, 11012102110002000001
12, 0.2351178, 2.962687, c, 00202020102212200012
13, 1.13477, 3.520071, a, 12000200001102112210
13, 1.13477, 3.520071, b, 00210001020002010000
13, 1.13477, 3.520071, c, 00010201101202101221
14, 0.6256812, 5.555882, a, 22002022100020212021
14, 0.6256812, 5.555882, b, 20000002000022002020
14, 0.6256812, 5.555882, c, 20022201100220102222
15, 0.2672162, 4.890748, a, 02112002000002202202
15, 0.2672162, 4.890748, b, 12202100012022202202
15, 0.2672162, 4.890748, c, 00000102002000002000
16, 0.9709225, 0.3154184, a, 00121000101111111200
16, 0.9709225, 0.3154184, b, 00212000102101000120
16, 0.9709225, 0.3154184, c, 01110100000110200002
17, 0.6267516, 1.232297, a, 02010200111120000100
17, 0.6267516, 1.232297, b, 01000210010100100000
17, 0.6267516, 1.232297, c, 01200122121001222000
