Chr	Start	End	Cell.1	Cell.2	Cell.3
1	1	951792	2	2	2
1	951793	1453329	2	2	2
1	1453330	1955164	2	2	2
1	1955165	2457406	2	2	2
1	2457407	3008820	3	2	2
1	3008821	3510763	3	2	2
1	3510764	4162775	3	2	2
1	4162776	4666055	3	2	2
1	4666056	5168834	2	2	2
1	5168835	5671208	2	2	2
1	5671209	6173929	2	2	2
1	6173930	6676621	2	1	2
1	6676622	7178364	2	1	2
1	7178365	7683787	1	1	2
1	7683788	8185573	2	2	2
1	8185574	8688391	2	2	2
1	8688392	9190662	2	2	2
1	9190663	9692522	2	2	2
1	9692523	10194494	2	2	2
1	10194495	10696096	2	2	2
1	10696097	11198812	2	2	2
1	11198813	11701933	2	2	2
